"Fecha","Categoría","Tipo","Monto","Activo","Libro mayor","Reembolsar","Comentar"
"jul 18 2026 20:28","Comida","Expensas","-83600","Mercadopago & else","Mi libro mayor","","arabe hmcsg"
"jul 18 2026 18:27","Varios","Expensas","-20212","Mercadopago & else","Mi libro mayor","","asumo gasto Joakechi, Vee Mcdonalds y alcohol"
"jul 18 2026 16:50","Coche","Expensas","-7400","Mercadopago & else","Mi libro mayor","","un didi no se adonde"
"jul 16 2026 18:28","Comida","Expensas","-5700","Mercadopago & else","Mi libro mayor","","una carro cake"
"jul 16 2026 18:28","Regalo","Expensas","-7500","Mercadopago & else","Mi libro mayor","","el golf pa ian"
"jul 15 2026 12:42","Comida","Expensas","-7100","Mercadopago & else","Mi libro mayor","","milanesio y peñsi"
"jul 15 2026 12:42","Coche","Expensas","-17000","Mercadopago & else","Mi libro mayor","","didi"
"jul 15 2026 02:44","Varios","Expensas","-60000","Mercadopago & else","Mi libro mayor","","psicologa 2 ses"
"jul 14 2026 01:02","Juego","Expensas","-7500","Mercadopago & else","Mi libro mayor","","el super battle golf para ian"
"jul 11 2026 17:43","Super","Expensas","-11857","Mercadopago & else","Mi libro mayor","","pizzas"
"jul 11 2026 03:06","Varios","Expensas","-56480","Mercadopago & else","Mi libro mayor","","BRTH (que compraba)"
"jul 09 2026 01:03","Juego","Expensas","-7000","Mercadopago & else","Mi libro mayor","","dlc del outer wilds"
"jul 08 2026 21:05","Comida","Expensas","-43400","Mercadopago & else","Mi libro mayor","","sushi libre"
"jul 08 2026 19:04","Comida","Expensas","-6000","Mercadopago & else","Mi libro mayor","","medialuna c ddl"
"jul 08 2026 18:23","Coche","Expensas","-15500","Mercadopago & else","Mi libro mayor","","didi al desfile"
"jul 08 2026 13:05","Comida","Expensas","-9000","Mercadopago & else","Mi libro mayor","","almuerzo ofi"
"jul 08 2026 09:23","Coche","Expensas","-17900","Mercadopago & else","Mi libro mayor","","didi a la ofi"
"jul 06 2026 21:22","Juego","Expensas","-9000","Mercadopago & else","Mi libro mayor","","juegos de steam"
"jul 06 2026 15:27","Deporte","Expensas","-61000","Mercadopago & else","Mi libro mayor","","gimnasio"
"jul 05 2026 21:21","Comida","Expensas","-14900","Mercadopago & else","Mi libro mayor","","un mc"
"jul 05 2026 17:26","Deporte","Expensas","-11800","Mercadopago & else","Mi libro mayor","","futbol"
"jul 04 2026 21:30","Comida","Expensas","-40000","Mercadopago & else","Mi libro mayor","","peruano"
"jul 02 2026 18:30","Coche","Expensas","-5500","Mercadopago & else","Mi libro mayor","","didi al teatro"
"jul 02 2026 17:04","Comida","Expensas","-5700","Mercadopago & else","Mi libro mayor","","carrot cake"
"jul 02 2026 09:04","Coche","Expensas","-11900","Mercadopago & else","Mi libro mayor","","didi, enpalabras"
"jul 01 2026 22:04","Juego","Expensas","-14000","Mercadopago & else","Mi libro mayor","","snack, bowling y pool"
"jul 01 2026 21:04","Comida","Expensas","-29700","Mercadopago & else","Mi libro mayor","","snack, comida"
"jul 01 2026 19:03","Coche","Expensas","-5930","Mercadopago & else","Mi libro mayor","","didi a snack"
"jul 01 2026 13:02","Comida","Expensas","-15750","Mercadopago & else","Mi libro mayor","","club de la ensalada"
"jul 01 2026 09:02","Coche","Expensas","-17664","Mercadopago & else","Mi libro mayor","","uber cormos"
"jun 29 2026 14:55","Coche","Expensas","-83000","Mercadopago & else","Mi libro mayor","","Nafta y demas"
"jun 27 2026 23:54","Bebida ","Expensas","-31050","Mercadopago & else","Mi libro mayor","","bebidas y yelos"
"jun 26 2026 12:04","Varios","Expensas","-100000","Mercadopago & else","Mi libro mayor","","psicologa últimas 4 sesiones"
"jun 26 2026 02:32","Varios","Expensas","-65000","Mercadopago & else","Mi libro mayor","","Crema para el pelo? q compraba"
"jun 24 2026 18:54","Coche","Expensas","-3900","Mercadopago & else","Mi libro mayor","","didi vuelta"
"jun 24 2026 12:32","Comida","Expensas","-8500","Mercadopago & else","Mi libro mayor","","milanesa open 25"
"jun 24 2026 09:32","Coche","Expensas","-16000","Mercadopago & else","Mi libro mayor","","uber ofi"
"jun 23 2026 23:53","Comida","Expensas","-9800","Mercadopago & else","Mi libro mayor","","milksahke"
"jun 23 2026 23:09","Comida","Expensas","-37730","Mercadopago & else","Mi libro mayor","","Franks Grill"
"jun 21 2026 15:59","Regalo","Expensas","-212000","Mercadopago & else","Mi libro mayor","","junko mocasine"
"jun 21 2026 03:16","Comida","Expensas","-11800","Mercadopago & else","Mi libro mayor","","Mc madrugada"
"jun 21 2026 01:15","Bebida ","Expensas","-20000","Mercadopago & else","Mi libro mayor","","jobs, Tragos"
"jun 20 2026 23:15","Juego","Expensas","-10000","Mercadopago & else","Mi libro mayor","","jobs, Bowling"
"jun 20 2026 22:05","Juego","Expensas","-25000","Mercadopago & else","Mi libro mayor","","jobs, Pool y Tejo"
"jun 20 2026 21:11","Comida","Expensas","-18125","Mercadopago & else","Mi libro mayor","","pizza guitarrita"
"jun 20 2026 19:11","Juego","Expensas","-8350","Mercadopago & else","Mi libro mayor","","playland"
"jun 20 2026 15:18","Regalo","Expensas","-80000","Mercadopago & else","Mi libro mayor","","Blind max y yo"
"jun 20 2026 14:00","Comida","Expensas","-14600","Mercadopago & else","Mi libro mayor","","tasty almuerzo"
"jun 19 2026 22:59","Coche","Expensas","-9000","Mercadopago & else","Mi libro mayor","","uber vuelta c maru"
"jun 19 2026 21:59","Comida","Expensas","-28000","Mercadopago & else","Mi libro mayor","","cena lauti mari"
"jun 19 2026 13:59","Comida","Expensas","-8500","Mercadopago & else","Mi libro mayor","","almuerzo ofi"
"jun 19 2026 10:58","Coche","Expensas","-12500","Mercadopago & else","Mi libro mayor","","didi a la ofi"
"jun 18 2026 15:58","Comida","Expensas","-6000","Mercadopago & else","Mi libro mayor","","pan au chocola"
"jun 15 2026 19:57","Varios","Expensas","-8500","Mercadopago & else","Mi libro mayor","","djfumsdote.com.ar"
"jun 15 2026 17:57","Deporte","Expensas","-9000","Mercadopago & else","Mi libro mayor","","futbol"
"jun 15 2026 17:57","Coche","Expensas","-13350","Mercadopago & else","Mi libro mayor","","uber ida y vuelta terrazas"
"jun 14 2026 12:36","Coche","Expensas","-71019","Mercadopago & else","Mi libro mayor","","nafta"
"jun 14 2026 12:35","Varios","Expensas","-23000","Mercadopago & else","Mi libro mayor","","Entrada Frozouda"
"jun 13 2026 16:35","Comida","Expensas","-27420","Mercadopago & else","Mi libro mayor","","merienda aurelia nos fuimo al choto"
"jun 12 2026 02:17","Ropa","Expensas","-67170","Mercadopago & else","Mi libro mayor","","remeras (?)"
"jun 10 2026 13:17","Comida","Expensas","-13200","Mercadopago & else","Mi libro mayor","","tasty"
"jun 10 2026 13:16","Coche","Expensas","-30600","Mercadopago & else","Mi libro mayor","","didi ida y vuelta ofi"
"jun 06 2026 21:40","Bebida ","Expensas","-4200","Mercadopago & else","Mi libro mayor","","bebidas"
"jun 06 2026 21:39","Comida","Expensas","-19500","Mercadopago & else","Mi libro mayor","","Shawarma"
"jun 06 2026 17:39","Cine","Expensas","-9550","Mercadopago & else","Mi libro mayor","","entradas cine"
"jun 06 2026 16:39","Comida","Expensas","-14000","Mercadopago & else","Mi libro mayor","","merienda abreagan"
"jun 05 2026 14:54","Varios","Expensas","-61000","Mercadopago & else","Mi libro mayor","","gym"
"jun 04 2026 17:05","Comida","Expensas","-6000","Mercadopago & else","Mi libro mayor","","pan au chocolat"
"jun 03 2026 19:53","Comida","Expensas","-24400","Mercadopago & else","Mi libro mayor","","cena en el snack"
"jun 03 2026 19:52","Juego","Expensas","-18000","Mercadopago & else","Mi libro mayor","","bolos"
"jun 03 2026 18:53","Coche","Expensas","-7460","Mercadopago & else","Mi libro mayor","","didi"
"may 25 2026 21:20","Comida","Expensas","-11500","Mercadopago & else","Mi libro mayor","","brule"
"may 24 2026 06:03","Varios","Expensas","-150000","Mercadopago & else","Mi libro mayor","","entradas a makena me las rompo"
"may 24 2026 06:02","Bebida ","Expensas","-20000","Mercadopago & else","Mi libro mayor","","UN JAGGERAZO"
"may 24 2026 06:02","Comida","Expensas","-37800","Mercadopago & else","Mi libro mayor","","sushi libre"
"may 24 2026 05:59","Deporte","Expensas","-11000","Mercadopago & else","Mi libro mayor","","FOBAL"
"may 23 2026 06:05","Comida","Expensas","-20766","Mercadopago & else","Mi libro mayor","","AMBOS MCDONDALS"
"may 23 2026 06:04","Bebida ","Expensas","-18650","Mercadopago & else","Mi libro mayor","","ALCOHOL"
"may 22 2026 21:00","Ropa","Expensas","-178000","Mercadopago & else","Mi libro mayor","","speedcat og"
"may 22 2026 21:00","Comida","Expensas","-11000","Mercadopago & else","Mi libro mayor","","bruel"
"may 17 2026 20:03","Comida","Expensas","-25800","Mercadopago & else","Mi libro mayor","","juntada holansi"
"may 17 2026 20:03","Coche","Expensas","-30000","Mercadopago & else","Mi libro mayor","","nafta"
"may 13 2026 16:59","Comida","Expensas","-11500","Mercadopago & else","Mi libro mayor","","brule"
"may 10 2026 14:29","Deporte","Expensas","-9537","Mercadopago & else","Mi libro mayor","","futbol"
"may 10 2026 14:28","Comida","Expensas","-34000","Mercadopago & else","Mi libro mayor","","coca y kfc"
"may 06 2026 13:50","Varios","Expensas","-50000","Mercadopago & else","Mi libro mayor","","sesiones de psicologa"
"may 03 2026 17:12","Varios","Expensas","-71000","Mercadopago & else","Mi libro mayor","","multa"
"may 02 2026 21:19","Comida","Expensas","-17000","Mercadopago & else","Mi libro mayor","","mac"
"may 02 2026 17:44","Deporte","Expensas","-8100","Mercadopago & else","Mi libro mayor","","fobal"
"may 02 2026 17:19","Coche","Expensas","-8500","Mercadopago & else","Mi libro mayor","","ubers"
"abr 30 2026 17:44","Comida","Expensas","-7000","Mercadopago & else","Mi libro mayor","","brule y pan"
"abr 26 2026 00:40","Comida","Expensas","-17000","Mercadopago & else","Mi libro mayor","","mcalvarz"
"abr 26 2026 00:40","Comida","Expensas","-11000","Mercadopago & else","Mi libro mayor","","boludeces para merienda"
"abr 25 2026 00:40","Bebida ","Expensas","-76500","Mercadopago & else","Mi libro mayor","","una champeta y un water"
"abr 24 2026 19:49","Comida","Expensas","-11800","Mercadopago & else","Mi libro mayor","","brule"
"abr 24 2026 19:49","Coche","Expensas","-70000","Mercadopago & else","Mi libro mayor","","nafta"
"abr 24 2026 19:48","Ropa","Expensas","-72000","Mercadopago & else","Mi libro mayor","","botines"
"abr 19 2026 18:43","Deporte","Expensas","-7425","Mercadopago & else","Mi libro mayor","","futbol domingo"
"abr 18 2026 22:43","Comida","Expensas","-17000","Mercadopago & else","Mi libro mayor","","mcdonalds"
"abr 18 2026 21:42","Deporte","Expensas","-8125","Mercadopago & else","Mi libro mayor","","futbol sabado peder"
"abr 17 2026 18:42","Comida","Expensas","-10000","Mercadopago & else","Mi libro mayor","","merienda nahuw bren"
"abr 15 2026 04:10","Comida","Expensas","-37500","Mercadopago & else","Mi libro mayor","","tacos libres"
"abr 12 2026 19:37","Comida","Expensas","-35200","Mercadopago & else","Mi libro mayor","","juntasa"
"mar 30 2026 18:46","Varios","Expensas","-15000","Mercadopago & else","Mi libro mayor","","rifas junko"
"mar 30 2026 18:46","Regalo","Expensas","-10000","Mercadopago & else","Mi libro mayor","","regalo ekren"
"mar 28 2026 15:51","Comida","Expensas","-16000","Mercadopago & else","Mi libro mayor","","brule"
"mar 28 2026 15:50","Cine","Expensas","-10500","Mercadopago & else","Mi libro mayor","","entrada cine"
"mar 28 2026 15:50","Coche","Expensas","-17360","Mercadopago & else","Mi libro mayor","","uber tati"
"mar 27 2026 21:51","Propina","Expensas","-10000","Mercadopago & else","Mi libro mayor","","propina aristobulo"
"mar 27 2026 21:50","Comida","Expensas","-93800","Mercadopago & else","Mi libro mayor","","casa aristobulo"
"mar 24 2026 01:31","Comida","Expensas","-13875","Mercadopago & else","Mi libro mayor","","mi gusto"
"mar 24 2026 01:31","Comida","Expensas","-12000","Mercadopago & else","Mi libro mayor","","picadita gap haters"
"mar 23 2026 02:15","Juego","Expensas","-900","Mercadopago & else","Mi libro mayor","","timba"
"mar 23 2026 02:15","Comida","Expensas","-10000","Mercadopago & else","Mi libro mayor","","kfc"
"mar 21 2026 22:13","Comida","Expensas","-15149","Mercadopago & else","Mi libro mayor","","juntada"
"mar 17 2026 21:39","Juego","Expensas","-16183","Mercadopago & else","Mi libro mayor","","pase del lol"
"mar 17 2026 02:34","Comida","Expensas","-28490","Mercadopago & else","Mi libro mayor","","merienda cln tati"
"feb 26 2026 11:08","Coche","Expensas","-56000","Mercadopago & else","Mi libro mayor","","nafta"
"feb 26 2026 11:08","Comida","Expensas","-56600","Mercadopago & else","Mi libro mayor","","enso"
"feb 25 2026 16:19","Varios","Expensas","-18000","Mercadopago & else","Mi libro mayor","","isic"
"feb 21 2026 19:13","Regalo","Expensas","-37008","Mercadopago & else","Mi libro mayor","","pava elestrica"
"feb 21 2026 18:12","Comida","Expensas","-18800","Mercadopago & else","Mi libro mayor","","luccianos"
"feb 21 2026 03:55","Tecnología ","Expensas","-10000","Mercadopago & else","Mi libro mayor","","punta de repuesto tablet"
"feb 21 2026 03:55","Comida","Expensas","-2400","Mercadopago & else","Mi libro mayor","","una goga"
"feb 21 2026 03:55","Comida","Expensas","-61000","Mercadopago & else","Mi libro mayor","","comida en el snack"
"feb 21 2026 03:55","Juego","Expensas","-56000","Mercadopago & else","Mi libro mayor","","bowling pool"
"feb 16 2026 17:26","Varios","Expensas","-150000","Mercadopago & else","Mi libro mayor","","la luz"
"feb 15 2026 18:27","Coche","Expensas","-15000","Mercadopago & else","Mi libro mayor","","estacionamiento rose mansion"
"feb 15 2026 18:27","Comida","Expensas","-86000","Mercadopago & else","Mi libro mayor","","rose mansion"
"feb 15 2026 18:26","Comida","Expensas","-14000","Mercadopago & else","Mi libro mayor","","freddo"
"feb 15 2026 18:26","Super","Expensas","-9560","Mercadopago & else","Mi libro mayor","","lemon pie super"
"feb 15 2026 18:06","Comida","Expensas","-26250","Mercadopago & else","Mi libro mayor","","shami"
"feb 15 2026 18:05","Tati","Expensas","-60000","Mercadopago & else","Mi libro mayor","","flores"
"feb 13 2026 10:36","Comida","Expensas","-5800","Mercadopago & else","Mi libro mayor","","cheesecake ep"
"feb 13 2026 10:36","Coche","Expensas","-20000","Mercadopago & else","Mi libro mayor","","didi ida y vuelta EP"
"feb 13 2026 10:36","Varios","Expensas","-50000","Mercadopago & else","Mi libro mayor","","osicologa"
"feb 12 2026 02:28","Super","Expensas","-35376","Mercadopago & else","Mi libro mayor","","carrfour"
"feb 08 2026 18:55","Comida","Expensas","-27000","Mercadopago & else","Mi libro mayor","","Sabado - tati y yo"
"feb 07 2026 17:53","Comida","Expensas","-14800","Mercadopago & else","Mi libro mayor","","brule"
"feb 07 2026 17:53","Varios","Expensas","-9000","Mercadopago & else","Mi libro mayor","","chino tati"
"feb 01 2026 20:20","Comida","Expensas","-13900","Mercadopago & else","Mi libro mayor","","mi gusto"
"feb 01 2026 20:20","Comida","Expensas","-14000","Mercadopago & else","Mi libro mayor","","picada"
"feb 01 2026 20:19","Comida","Expensas","-2400","Mercadopago & else","Mi libro mayor","","medialunas"
"ene 31 2026 20:39","Comida","Expensas","-61800","Mercadopago & else","Mi libro mayor","","enso"
"ene 31 2026 03:46","Comida","Expensas","-19000","Mercadopago & else","Mi libro mayor","","mostaza creo"
"ene 30 2026 19:11","Varios","Expensas","-109000","Mercadopago & else","Mi libro mayor","","monotrib enero"
"ene 29 2026 17:11","Comida","Expensas","-4800","Mercadopago & else","Mi libro mayor","","pan au chocolat"
"ene 25 2026 21:59","Comida","Expensas","-25350","Mercadopago & else","Mi libro mayor","","comida tati y yo en lo de bren"
"ene 25 2026 17:37","Bebida ","Expensas","-53200","Mercadopago & else","Mi libro mayor","","jager"
"ene 25 2026 00:59","Comida","Expensas","-24400","Mercadopago & else","Mi libro mayor","","mc y super y todo"
"ene 24 2026 17:35","Comida","Expensas","-14200","Mercadopago & else","Mi libro mayor","","nrule"
"ene 21 2026 10:21","Coche","Expensas","-60000","Mercadopago & else","Mi libro mayor","","nafta"
"ene 21 2026 10:21","Comida","Expensas","-78000","Mercadopago & else","Mi libro mayor","","fujisna"
"ene 19 2026 21:00","Comida","Expensas","-24000","Mercadopago & else","Mi libro mayor","","mc con mi amor"
"ene 11 2026 00:10","Comida","Expensas","-26200","Mercadopago & else","Mi libro mayor","","cena en BUCHARRRDO"
"ene 07 2026 02:39","Comida","Expensas","-74200","Mercadopago & else","Mi libro mayor","","barrio chino comida"
"ene 06 2026 16:39","Corte de pelo","Expensas","-22000","Mercadopago & else","Mi libro mayor","","corte de pelo"
"ene 05 2026 17:12","Varios","Expensas","-75000","Mercadopago & else","Mi libro mayor","","maria"
"ene 03 2026 21:31","Comida","Expensas","-41560","Mercadopago & else","Mi libro mayor","","Ensito"
"ene 03 2026 16:04","Tati","Expensas","-38400","Mercadopago & else","Mi libro mayor","","vestido tati"
"ene 03 2026 02:08","Comida","Expensas","-10000","Mercadopago & else","Mi libro mayor","","mc nocturnk"
"ene 03 2026 02:08","Coche","Expensas","-55000","Mercadopago & else","Mi libro mayor","","nafta"
"dic 28 2025 17:22","Comida","Expensas","-20600","Mercadopago & else","Mi libro mayor","","subway"
"dic 28 2025 16:13","Comida","Expensas","-32800","Mercadopago & else","Mi libro mayor","","todo el dia de ayer"
"dic 28 2025 02:09","Comida","Expensas","-16000","Mercadopago & else","Mi libro mayor","","brule"
"dic 24 2025 16:08","Regalo","Expensas","-31900","Mercadopago & else","Mi libro mayor","","regalo maxi"
"dic 18 2025 15:38","Comida","Expensas","-13100","Mercadopago & else","Mi libro mayor","","brule c alan"
"dic 18 2025 13:39","Varios","Expensas","-10500","Mercadopago & else","Mi libro mayor","","las cosas del auto q no funcionan"
"dic 14 2025 21:40","Comida","Expensas","-29350","Mercadopago & else","Mi libro mayor","","comida en londe bren mas tati"
"dic 14 2025 17:19","Comida","Expensas","-30400","Mercadopago & else","Mi libro mayor","","merienda"
"dic 12 2025 15:14","vacacione","Expensas","-332154","Mercadopago & else","Mi libro mayor","","todo el resto del viaje"
"dic 12 2025 15:11","Coche","Expensas","-61000","Mercadopago & else","Mi libro mayor","","nafta"
"dic 10 2025 20:40","Regalo","Expensas","-114000","Mercadopago & else","Mi libro mayor","","mamuahcka y rapanui"
"dic 07 2025 15:20","Varios","Expensas","-40000","Mercadopago & else","Mi libro mayor","","tragos para los pibes y cosas"
"dic 06 2025 21:11","Varios","Expensas","-13000","Mercadopago & else","Mi libro mayor","","trago y guardarropa lelac"
"dic 03 2025 21:38","Juego","Expensas","-10000","Mercadopago & else","Mi libro mayor","","6 usd de juego en steam"
"dic 03 2025 17:38","Comida","Expensas","-16300","Mercadopago & else","Mi libro mayor","","brule"
"nov 29 2025 16:38","Comida","Expensas","-23500","Mercadopago & else","Mi libro mayor","","daltoki"
"nov 25 2025 21:36","Comida","Expensas","-19700","Mercadopago & else","Mi libro mayor","","cremolatti"
"nov 25 2025 17:15","Comida","Expensas","-8150","Mercadopago & else","Mi libro mayor","","brulecigo"
"nov 24 2025 17:15","Comida","Expensas","-19200","Mercadopago & else","Mi libro mayor","","cafe con tati"
"nov 23 2025 19:50","Comida","Expensas","-8709","Mercadopago & else","Mi libro mayor","","junatds dyd"
"nov 22 2025 23:24","Coche","Expensas","-62000","Mercadopago & else","Mi libro mayor","","nafta"
"nov 20 2025 02:50","Coche","Expensas","-4920","Mercadopago & else","Mi libro mayor","","tati"
"nov 16 2025 17:51","Comida","Expensas","-11900","Mercadopago & else","Mi libro mayor","","brule"
"nov 16 2025 01:40","Bebida ","Expensas","-24000","Mercadopago & else","Mi libro mayor","","2 cuba libre le re rompían el orto"
"nov 15 2025 22:02","Comida","Expensas","-32000","Mercadopago & else","Mi libro mayor","","comida barrio chinl"
"nov 15 2025 01:43","Varios","Expensas","-8000","Mercadopago & else","Mi libro mayor","","entrada sabi"
"nov 15 2025 01:39","Cine","Expensas","-13500","Mercadopago & else","Mi libro mayor","","cine"
"nov 14 2025 17:34","Comida","Expensas","-3500","Mercadopago & else","Mi libro mayor","","sanguche"
"nov 09 2025 13:57","Tati","Expensas","-13006","Mercadopago & else","Mi libro mayor","","didis tati"
"nov 09 2025 13:47","Coche","Expensas","-53000","Mercadopago & else","Mi libro mayor","","ypf"
"nov 09 2025 13:46","Comida","Expensas","-21920","Mercadopago & else","Mi libro mayor","","MCD"
"nov 08 2025 23:33","Bebida ","Expensas","-26992","Mercadopago & else","Mi libro mayor","","RAPPI ALCOHOL Y DEMAS"
"nov 08 2025 20:32","Super","Expensas","-30589","Mercadopago & else","Mi libro mayor","","CARREFOUR y GASA"
"nov 08 2025 04:09","Comida","Expensas","-19500","Mercadopago & else","Mi libro mayor","","mcc"
"nov 08 2025 02:08","Comida","Expensas","-18500","Mercadopago & else","Mi libro mayor","","lcoall"
"nov 07 2025 15:09","Varios","Expensas","-8000","Mercadopago & else","Mi libro mayor","","entrada local"
"nov 03 2025 01:54","Comida","Expensas","-17500","Mercadopago & else","Mi libro mayor","","mc con tati"
"nov 02 2025 22:04","Comida","Expensas","-7800","Mercadopago & else","Mi libro mayor","","empas lo de fran"
"nov 02 2025 16:04","Regalo","Expensas","-6750","Mercadopago & else","Mi libro mayor","","regalo valen y regalo tati"
"nov 02 2025 15:02","Comida","Expensas","-51000","Mercadopago & else","Mi libro mayor","","comida en tenri"
"oct 31 2025 14:41","Comida","Expensas","-1400","Mercadopago & else","Mi libro mayor","","aldajor"
"oct 28 2025 19:55","Comida","Expensas","-3500","Mercadopago & else","Mi libro mayor","","sangche"
"oct 28 2025 19:55","Coche","Expensas","-5780","Mercadopago & else","Mi libro mayor","","uber"
"oct 28 2025 15:04","Coche","Expensas","-6412","Mercadopago & else","Mi libro mayor","","uber"
"oct 27 2025 17:55","Comida","Expensas","-26900","Mercadopago & else","Mi libro mayor","","vedra"
"oct 27 2025 16:01","Coche","Expensas","-5400","Mercadopago & else","Mi libro mayor","","didiS"
"oct 27 2025 16:01","Varios","Expensas","-13000","Mercadopago & else","Mi libro mayor","","altitude .edias y agha"
"oct 27 2025 01:31","Varios","Expensas","-6000","Mercadopago & else","Mi libro mayor","","extracciones"
"oct 27 2025 01:31","Coche","Expensas","-46600","Mercadopago & else","Mi libro mayor","","nafta"
"oct 26 2025 22:30","Comida","Expensas","-43600","Mercadopago & else","Mi libro mayor","","cena izakaya"
"oct 26 2025 14:12","Comida","Expensas","-3300","Mercadopago & else","Mi libro mayor","","hielo"
"oct 26 2025 13:30","Comida","Expensas","-14900","Mercadopago & else","Mi libro mayor","","asado"
"oct 22 2025 03:09","Regalo","Expensas","-46000","Mercadopago & else","Mi libro mayor","","regalo bren"
"oct 22 2025 03:09","Médico","Expensas","-124700","Mercadopago & else","Mi libro mayor","","maria vet"
"oct 20 2025 17:30","Tati","Expensas","-40000","Mercadopago & else","Mi libro mayor","","altitude"
"oct 18 2025 20:46","Comida","Expensas","-5900","Mercadopago & else","Mi libro mayor","","merienda"
"oct 18 2025 19:57","Comida","Expensas","-52300","Mercadopago & else","Mi libro mayor","","enso"
"oct 17 2025 19:54","Comida","Expensas","-3500","Mercadopago & else","Mi libro mayor","","sanguche"
"oct 12 2025 17:41","Comida","Expensas","-8800","Mercadopago & else","Mi libro mayor","","fokin frappe"
"oct 12 2025 03:01","Comida","Expensas","-6503","Mercadopago & else","Mi libro mayor","","cookies n shit"
"oct 09 2025 19:48","Varios","Expensas","-7000","Mercadopago & else","Mi libro mayor","","burger maxi"
"oct 09 2025 03:02","Coche","Expensas","-3000","Mercadopago & else","Mi libro mayor","","uber tati"
"oct 08 2025 19:01","Varios","Expensas","-20000","Mercadopago & else","Mi libro mayor","","mic chino"
"oct 05 2025 13:18","Comida","Expensas","-18000","Mercadopago & else","Mi libro mayor","","mac con tati"
"oct 04 2025 02:59","Comida","Expensas","-12960","Mercadopago & else","Mi libro mayor","","su mac"
"oct 03 2025 12:20","Comida","Expensas","-1060","Mercadopago & else","Mi libro mayor","","el resto de subway"
"oct 03 2025 12:19","Varios","Expensas","-53500","Mercadopago & else","Mi libro mayor","","ysy a"
"oct 02 2025 16:19","Comida","Expensas","-20700","Mercadopago & else","Mi libro mayor","","merienda x tati"
"oct 01 2025 19:33","Coche","Expensas","-4000","Mercadopago & else","Mi libro mayor","","estacio"
"sept 30 2025 13:26","Coche","Expensas","-50000","Mercadopago & else","Mi libro mayor","","nafta"
"sept 28 2025 16:24","Comida","Expensas","-5339","Mercadopago & else","Mi libro mayor","","alfajores y cosas"
"sept 28 2025 03:40","Varios","Expensas","-55000","Mercadopago & else","Mi libro mayor","","silla"
"sept 28 2025 02:23","Comida","Expensas","-11000","Mercadopago & else","Mi libro mayor","","mac cln tati"
"sept 27 2025 18:01","Coche","Expensas","-7880","Mercadopago & else","Mi libro mayor","","uner tati"
"sept 26 2025 18:00","Comida","Expensas","-2900","Mercadopago & else","Mi libro mayor","","papitas"
"sept 21 2025 14:38","Ropa","Expensas","-35000","Mercadopago & else","Mi libro mayor","","camperass"
"sept 19 2025 12:19","Deporte","Expensas","-7700","Mercadopago & else","Mi libro mayor","","futbol mas caro del mundo"
